profil,station,month,coef
P018,74042003,2,0.200796161923892
P018,74042003,3,0.170682355000569
P018,74042003,4,0.0896253917752541
P018,74042003,5,0.0305718561650928
P018,74042003,6,0.00487577166655978
P018,74042003,7,0.00479971853762642
P018,74042003,8,0.00350463210363917
P018,74042003,9,0.0154248847376343
P018,74042003,10,0.0702115783747477
P018,74042003,11,0.195410453185704
P018,74042003,12,0.18375844778525
P018,75114001,1,0.209813105348802
P018,75114001,2,0.160287507458409
P018,75114001,3,0.150427791149053
P018,75114001,4,0.0803162426844048
P018,75114001,5,0.0312444183659413
P018,75114001,6,0.00390505559847159
P018,75114001,7,0.00326732532943457
P018,75114001,8,0.00246819643333578
P018,75114001,9,0.00584489398938564
P018,75114001,10,0.0615093923164503
P018,75114001,11,0.126785534997631
P018,75114001,12,0.163528244062122
P018,76116001,1,0.249594937368547
P018,76116001,2,0.206468029009677
P018,76116001,3,0.191311728305074
P018,76116001,4,0.106215424955586
P018,76116001,5,0.0329565405833553
P018,76116001,6,0.00328190545212228
P018,76116001,7,0.00323405455998833
P018,76116001,8,0.00102988401478645
P018,76116001,9,0.00593769018908174
P018,76116001,10,0.0538283145733753
P018,76116001,11,0.16443437023667
P018,76116001,12,0.219687628602867
P018,89295001,1,0.246207378926638
P018,89295001,2,0.188350712065722
P018,89295001,3,0.161515845369615
P018,89295001,4,0.0995560561507114
P018,89295001,5,0.0401336712617129
P018,89295001,6,0.00520315692839593
P018,89295001,7,0.00185217044398287
P018,89295001,8,0.00120962432985347
P018,89295001,9,0.0100571872312649
P018,89295001,10,0.0842854867916855
P018,89295001,11,0.145810725998484
P018,89295001,12,0.200677250620423
P019,06088001,1,0.143702133989408
P019,06088001,2,0.0960161278575956
P019,06088001,3,0.0855742851352547
P019,06088001,4,0.0353748696746205
P019,06088001,5,0.00218898901638043
P019,06088001,6,0.00174323937546309
P019,06088001,7,0.0013921106791004
P019,06088001,8,0.00111141459924845
P019,06088001,9,3.57447743396144e-4
P019,06088001,10,0.007895977842337
P019,06088001,11,0.101784167871594
P019,06088001,12,0.195486079457738
P019,13054001,1,0.18671857684304
P019,13054001,2,0.138149375996584
P019,13054001,3,0.0918621591735554
P019,13054001,4,0.0376646211442912
P019,13054001,5,6.76202577883465e-4
P019,13054001,6,0.00272463444891698
P019,13054001,7,0.00180731543148199
P019,13054001,8,0.00168035462214988
P019,13054001,9,5.11104398739837e-4
P019,13054001,10,0.0128001379753795
P019,13054001,11,0.100160327431802
P019,13054001,12,0.112958913157642
P019,16089001,1,0.210685919158708
P019,16089001,2,0.164730572840086
P019,16089001,3,0.113736382657813
P019,16089001,4,0.0463792006736164
P019,16089001,5,0.00772868223247995
P019,16089001,6,0.0019242808915576
P019,16089001,7,0.00139626844913438
P019,16089001,8,8.16746972486377e-4
P019,16089001,9,0.00188373051490923
P019,16089001,10,0.0324416983823891
P019,16089001,11,0.0888043528836293
P019,16089001,12,0.230197074825781
P019,18033001,1,0.24879192978123
P019,18033001,2,0.18932112097677
P019,18033001,3,0.141645051567621
P019,18033001,4,0.0478150215104458
P019,18033001,5,0.00609401681420712
P019,18033001,6,0.00395545761734893
P019,18033001,7,0.00350621661992204
P019,18033001,8,0.00265355983128355
P019,18033001,9,0.00218253243911843
P019,18033001,10,0.0243944439782537
P019,18033001,11,0.109103085887871
P019,18033001,12,0.157955897058096
P019,21473001,1,0.24879192978123
P019,21473001,2,0.18932112097677
P019,21473001,3,0.141645051567621
P019,21473001,4,0.0478150215104458
P019,21473001,5,0.00609401681420712
P019,21473001,6,0.00395545761734893
P019,21473001,7,0.00350621661992204
P019,21473001,8,0.00265355983128355
P019,21473001,9,0.00218253243911843
P019,21473001,10,0.0243944439782537
P019,21473001,11,0.109103085887871
P019,21473001,12,0.157955897058096
P019,25056001,1,0.24879192978123
P019,25056001,2,0.18932112097677
P019,25056001,3,0.141645051567621
P019,25056001,4,0.0478150215104458
P019,25056001,5,0.00609401681420712
P019,25056001,6,0.00395545761734893
P019,25056001,7,0.00350621661992204
P019,25056001,8,0.00265355983128355
P019,25056001,9,0.00218253243911843
P019,25056001,10,0.0243944439782537
P019,25056001,11,0.109103085887871
P019,25056001,12,0.157955897058096
P019,26198001,1,0.226923044361389
P019,26198001,2,0.171376023703997
P019,26198001,3,0.103830003165954
P019,26198001,4,0.0303075892151764
P019,26198001,5,0.00264314970301687
P019,26198001,6,0.0148924198526193
P019,26198001,7,0.0145984144698008
P019,26198001,8,0.0152363845093785
P019,26198001,9,0.00800990284698898
P019,26198001,10,0.0155793930298993
P019,26198001,11,0.0461258013645322
P019,26198001,12,0.101474931474056
P019,28070001,1,0.24879192978123
P019,28070001,2,0.18932112097677
P019,28070001,3,0.141645051567621
P019,28070001,4,0.0478150215104458
P019,28070001,5,0.00609401681420712
P019,28070001,6,0.00395545761734893
P019,28070001,7,0.00350621661992204
P019,28070001,8,0.00265355983128355
P019,28070001,9,0.00218253243911843
P019,28070001,10,0.0243944439782537
P019,28070001,11,0.109103085887871
P019,28070001,12,0.157955897058096
P019,29075001,1,0.369185293100431
P019,29075001,2,0.238716934545759
P019,29075001,3,0.132339854516208
P019,29075001,4,0.0608684131874265
P019,29075001,5,0.00539752635482939
P019,29075001,6,0.00348844239417608
P019,29075001,7,0.00593389085203164
P019,29075001,8,0.00354956078276695
P019,29075001,9,0.00203899810938673
P019,29075001,10,0.0152250798686867
P019,29075001,11,0.133677230118334
P019,29075001,12,0.219388112853251
P019,30189001,1,0.200122042648753
P019,30189001,2,0.139109724095026
P019,30189001,3,0.112064668618446
P019,30189001,4,0.0386287980002913
P019,30189001,5,0.00119719576299227
P019,30189001,6,0.00159899742212848
P019,30189001,7,0.00133793610480788
P019,30189001,8,0.00107390085529018
P019,30189001,9,3.96537251617459e-4
P019,30189001,10,0.0284087563093782
P019,30189001,11,0.106981314014449
P019,30189001,12,0.149976619848068
P019,31069001,1,0.213951652144876
P019,31069001,2,0.164065779952529
P019,31069001,3,0.122221791343346
P019,31069001,4,0.0442904023211297
P019,31069001,5,0.00670731173163085
P019,31069001,6,0.00261749311759279
P019,31069001,7,0.00111219227013123
P019,31069001,8,0.00101866717092216
P019,31069001,9,0.00115282713215912
P019,31069001,10,0.0132960805360741
P019,31069001,11,0.106668822357774
